SKU,Vendor,Description,Title,Price,Type,Image_Src,Quantity
21501,Redken,Шайн Флеш 02 Спрей,Redken Shine Flash,960,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shine-flash---shajn-flesh-02-sprej---blesk-dlya-volos-150-mlsprey-blesk-dlya-volos-shine-flash-redken.150x150.jpg,11
21502,Redken,Выпрямляющее молочко с эффектом анти-фриз 100 мл,Redken Outshine 01,1109,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-outshine-0119_109.250x250.150x150.jpg,14
21503,Redken,Крем-мусс для объема 125 мл,Redken Aerate 08,1109,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-aerate-08Redken_Aerate_08.250x250.150x150.jpg,20
21504,Redken,Увлажняющий мусс-объем для волос 250 мл,Redken Full Effect 04,1109,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-full-effect-0417_119.250x250.150x150.jpg,13
21505,Redken,Спрей для прикорневого объема 250 мл,Redken Rootful 06,782,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-rootful-06Redken_Rootful_06.250x250.150x150.jpg,17
21506,Redken,Спрей-мусс для объема 300 мл,Redken Guts 10,1109,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-guts-107_177.250x250.150x150.jpg,20
21507,Redken,Термозащитный спрей для создания текстуры при укладке феном 124 гр,Redken Fabricate 03,1109,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-fabricate-039_154.250x250.150x150.jpg,5
21508,Redken,"Термозащитный крем, 150 мл",Redken Pillow Proof Blow Dry,2236,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-pillow-proof-blow-dry---termozaschitnyj-krem-150-mlredken-pillow-proof-cream-LK2016.150x150.jpg,18
21509,Redken,Сухой шампунь для волос 153 мл,Redken Pillow Proof Blow Dry Two Day Extender,1102,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-pillow-proof-blow-dry-two-day-extender---suhoj-shampun-dlya-volos-153-mlp0902200.150x150.jpg,18
21510,Redken,Спрей для дизайна причесок 250 мл,Redken Quick Tease 15,1192,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-quick-tease-156_174.250x250.150x150.jpg,19
